idcliente,municipio
575,CHAPELTIQUE
576,CHAPELTIQUE
577,CHAPELTIQUE
578,CHAPELTIQUE
579,CHAPELTIQUE
580,CHAPELTIQUE
581,CHAPELTIQUE
586,CHAPELTIQUE
587,CHAPELTIQUE
588,CHAPELTIQUE
589,CHAPELTIQUE
590,CIUDAD BARRIOS
591,CHAPELTIQUE
592,CHAPELTIQUE
593,CHAPELTIQUE
594,CHAPELTIQUE
595,CHAPELTIQUE
596,CHAPELTIQUE
598,GUATAJIAGUA
600,CHAPELTIQUE
601,CHAPELTIQUE
602,CHAPELTIQUE
603,CHAPELTIQUE
604,GUATAJIAGUA
606,GUATAJIAGUA
607,GUATAJIAGUA
608,CHAPELTIQUE
610,CHAPELTIQUE
611,CHAPELTIQUE
612,CHAPELTIQUE
613,CHAPELTIQUE
614,CHAPELTIQUE
615,CHAPELTIQUE
617,CHAPELTIQUE
619,GUATAJIAGUA
620,CHAPELTIQUE
621,CHAPELTIQUE
622,MORAZAN
623,CHAPELTIQUE
624,CHAPELTIQUE
625,CHAPELTIQUE
626,CHAPELTIQUE
627,CHAPELTIQUE
628,CHAPELTIQUE
629,GUATAJIAGUA
630,CHAPELTIQUE
631,CHAPELTIQUE
632,CHAPELTIQUE
633,CHAPELTIQUE
634,GUATAJIAGUA
635,SAN MIGUEL
638,CHAPELTIQUE
639,CHAPELTIQUE
640,CHAPELTIQUE
641,CHAPELTIQUE
645,CHAPELTIQUE
646,CHAPELTIQUE
647,CHAPELTIQUE
648,CHAPELTIQUE
649,CHAPELTIQUE
650,GUATAJIAGUA
651,CHAPELTIQUE
652,CHAPELTIQUE
653,CHAPELTIQUE
655,CHAPELTIQUE
656,CHAPELTIQUE
657,CHAPELTIQUE
658,CHAPELTIQUE
660,GUATAJIAGUA
664,CHAPELTIQUE
667,CHAPELTIQUE
669,CHAPELTIQUE
670,CAROLINA
671,CHAPELTIQUE
672,CHAPELTIQUE
673,CHAPELTIQUE
675,CHAPELTIQUE
676,CHAPELTIQUE
677,CHAPELTIQUE
678,CHAPELTIQUE
679,CHAPELTIQUE
680,CHAPELTIQUE
681,CHAPELTIQUE
682,GUATAJIAGUA
684,GUATAJIAGUA
685,CHAPELTIQUE
687,GUATAJIAGUA MORAZAN
690,CHAPELTIQUE
691,GUATAJIAGUA
692,CHAPELTIQUE
693,CHAPELTIQUE
694,CHAPELTIQUE
695,CHAPELTIQUE
697,CHAP.
699,CHAPELTIQUE
700,CHAPELTIQUE
701,CHAPELTIQUE
973,CHAPELTIQUE
975,COL LA PAZ CHAPELTIQ
976,CHAPELTIQUE
978,CHAPELTIQUE
979,CHAPELTIQUE
980,CHAPELTIQUE
981,CHAPELTIQUE
983,CHAPELTIQUE
984,CHAPELTIQUE
986,GUATAJIAGUA MORAZAN
988,CHAPELTIQUE
990,CHAPELTIQUE
991,CHAPELTIQUE
993,CHAPELTIQUE
994,SESORI
995,GUATAJIAGUA
996,CHAPELTIQUE
997,CHAPELTIQUE
998,CHAPELTIQUE
999,CHAPELTIQUE
1000,CHINAMECA
1006,CHAPELTIQUE
1010,CHAPELTIQUE
1011,CIUDAD BARRIOS
1016,CHAPELTIQUE
1017,CHAPELTIQIUE
1028,SESORI
1032,CHAPELTIQUE
1034,CHAPELTIQUE
1037,CHAPELTIQUE
RO1039,GUATAJIAGUA
1040,CHAPELTIQUE
1042,CHAPELTIQUE
1043,CHAPELTIQUE
1044,CHAPELTIQUE
1047,CIUDAD BARRIOS
1053,CHAPELTIQUE
1055,CHAPELTIQUE
1066,CHAPELTIQUE
1067,CHAPELTIQUE
